230317, 과일과채류, 딸기, 기타딸기,1,0,1000,,
230317, 엽경채류, 아욱, 아욱,1,0,300,,
230317, 조미채소류, 마늘, 풋마늘,1,0,210,,
230317, 과일과채류, 딸기, 금실,1,0,875,,
230317, 과일과채류, 딸기, 설향,1,0,600,,
230317, 조미채소류, 대파, 대파,1,0,190,,
230317, 조미채소류, 홍고추, 홍고추,1,0,1598.2142,,
230317, 과일과채류, 토마토, 토마토,1,0,240,,
230317, 과일과채류, 토마토, 토마토,1,0,280,,
230317, 조미채소류, 대파, 대파,1,0,190,,
230317, 버섯류, 새송이, 새송이버섯,1,0,262.5,,
230317, 과일과채류, 토마토, 토마토,1,0,240,,
230317, 과실류, 포도, 포도,0,0,231.70732,,
230317, 산채류, 취나물, 기타취나물,1,0,630,,
230317, 과일과채류, 참외, 금싸라기,1,0,650,,
230317, 과일과채류, 딸기, 설향,1,0,550,,
230317, 과일과채류, 딸기, 설향,1,0,550,,
230317, 과일과채류, 토마토, 토마토,1,0,270,,
230317, 과실류, 포도, 포도,0,0,231.70732,,
230317, 과일과채류, 딸기, 금실,1,0,1350,,
230317, 과채류, 오이, 백다다기,1,0,311.1111,,
230317, 버섯류, 목이, 임협목이1호,1,0,900,,
230317, 엽경채류, 고추잎, 생고추잎,1,0,410,,
230317, 과일과채류, 방울토마토, 대추방울,1,0,533.3333,,
230317, 과일과채류, 토마토, 토마토,1,0,290,,
230317, 과일과채류, 딸기, 설향,1,0,400,,
230317, 과일과채류, 딸기, 설향,1,0,400,,
230317, 과일과채류, 딸기, 설향,1,0,750,,
230317, 과실류, 포도, 포도,0,0,231.70732,,
230317, 버섯류, 목이, 임협목이1호,1,0,900,,
230317, 조미채소류, 마늘, 풋마늘,1,0,235,,
230317, 과일과채류, 딸기, 설향,1,0,600,,
230317, 조미채소류, 대파, 대파,1,0,190,,
230317, 산채류, 취나물, 기타취나물,1,0,625,,
230317, 과일과채류, 참외, 금싸라기,1,0,790,,
230317, 과일과채류, 참외, 금싸라기,1,0,600,,
230317, 과일과채류, 참외, 금싸라기,1,0,790,,
230317, 과일과채류, 참외, 금싸라기,1,0,600,,
230317, 과일과채류, 토마토, 토마토,1,0,280,,
230317, 과일과채류, 방울토마토, 대추방울,1,0,266.66666,,
230317, 과일과채류, 딸기, 설향,1,0,500,,
230317, 과일과채류, 토마토, 토마토,1,0,340,,
230317, 과일과채류, 딸기, 설향,1,0,950,,
230317, 과채류, 오이, 백다다기,1,0,355.55554,,
230317, 엽경채류, 시금치, 시금치,1,0,325,,
230317, 조미채소류, 홍고추, 홍고추,1,0,1839.2858,,
230317, 조미채소류, 대파, 대파,1,0,190,,
230317, 엽경채류, 시금치, 시금치,1,0,325,,
230317, 조미채소류, 쪽파, 깐쪽파,1,0,200,,
230317, 과일과채류, 딸기, 설향,1,0,700,,
230317, 과일과채류, 토마토, 토마토,1,0,220,,
230317, 엽경채류, 깻잎, 깻잎순,1,0,222.5,,
230317, 과일과채류, 딸기, 설향,1,0,700,,
230317, 과일과채류, 참외, 금싸라기,1,0,840,,
230317, 서류, 고구마, 기타,1,0,155,,
230317, 과일과채류, 방울토마토, 대추방울,1,0,500,,
230317, 과일과채류, 방울토마토, 대추방울,1,0,500,,
230317, 버섯류, 느타리버섯, 느타리버섯,1,0,275,,
230317, 근채류, 무, 세척무,1,0,55,,
230317, 과일과채류, 딸기, 설향,1,0,550,,
230317, 과일과채류, 토마토, 토마토,1,0,550,,
230317, 과일과채류, 토마토, 토마토,1,0,300,,
230317, 버섯류, 표고버섯, 기타표고버섯,1,0,675,,
230317, 조미채소류, 풋고추, 오이고추,1,0,415.17856,,
230317, 과일과채류, 딸기, 설향,1,0,350,,
230317, 버섯류, 느타리버섯, 느타리버섯,1,0,275,,
230317, 엽경채류, 양배추, 양배추,1,0,56,,
230317, 조미채소류, 쪽파, 깐쪽파,1,0,150,,
230317, 과일과채류, 딸기, 설향,1,0,500,,
230317, 과일과채류, 토마토, 토마토,1,0,80,,
230317, 과일과채류, 딸기, 설향,1,0,600,,
230317, 양채류, 적채, 적채,1,0,91.25,,
230317, 과일과채류, 방울토마토, 대추방울,1,0,283.33334,,
230317, 과일과채류, 토마토, 토마토,1,0,550,,
230317, 과일과채류, 딸기, 설향,1,0,350,,
230317, 과일과채류, 딸기, 설향,1,0,900,,
230317, 과일과채류, 참외, 금싸라기,1,0,900,,
230317, 과일과채류, 딸기, 설향,1,0,900,,
230317, 버섯류, 느타리버섯, 느타리버섯,1,0,275,,
230317, 과실류, 포도, 포도,0,0,286.58536,,
230317, 과일과채류, 딸기, 설향,1,0,350,,
230317, 과일과채류, 토마토, 토마토,1,0,160,,
230317, 과일과채류, 토마토, 토마토,1,0,320,,
230317, 엽경채류, 부추, 일반부추,1,0,104,,
230317, 과일과채류, 방울토마토, 대추방울,1,0,333.33334,,
230317, 과일과채류, 딸기, 설향,1,0,850,,
230317, 엽경채류, 부추, 일반부추,1,0,104,,
230317, 과일과채류, 방울토마토, 대추방울,1,0,333.33334,,
230317, 과일과채류, 딸기, 설향,1,0,850,,
230317, 버섯류, 느타리버섯, 느타리버섯,1,0,270,,
230317, 조미채소류, 풋고추, 오이고추,1,0,566.9643,,
230317, 서류, 고구마, 호박고구마,1,0,86,,
230317, 버섯류, 느타리버섯, 느타리버섯,1,0,270,,
230317, 과일과채류, 딸기, 설향,1,0,500,,
230317, 과일과채류, 딸기, 설향,1,0,475,,
230317, 과일과채류, 딸기, 설향,1,0,550,,
230317, 과일과채류, 딸기, 설향,1,0,475,,
230317, 과일과채류, 딸기, 설향,1,0,550,,
230317, 과일과채류, 토마토, 토마토,1,0,210,,
230317, 서류, 고구마, 기타,1,0,125,,
230317, 버섯류, 표고버섯, 기타표고버섯,1,0,675,,
230317, 과일과채류, 딸기, 설향,1,0,250,,
230317, 과일과채류, 참외, 금싸라기,1,0,880,,
230317, 과일과채류, 토마토, 토마토,1,0,260,,
230317, 엽경채류, 양배추, 양배추,1,0,54,,
230317, 과일과채류, 방울토마토, 대추방울,1,0,366.66666,,
230317, 과일과채류, 딸기, 설향,1,0,850,,
230317, 과일과채류, 딸기, 설향,1,0,850,,
230317, 과일과채류, 딸기, 설향,1,0,700,,
230317, 조미채소류, 쪽파, 쪽파,1,0,122,,
230317, 근채류, 무, 세척무,1,0,53,,
230317, 버섯류, 느타리버섯, 느타리버섯,1,0,265,,
230317, 과일과채류, 딸기, 설향,1,0,700,,
230317, 과일과채류, 토마토, 토마토,1,0,240,,
230317, 과채류, 오이, 백다다기,1,0,333.33334,,
230317, 과일과채류, 토마토, 토마토,1,0,200,,
230317, 과일과채류, 방울토마토, 대추방울,1,0,450,,
230317, 과일과채류, 토마토, 토마토,1,0,200,,
230317, 엽경채류, 부추, 일반부추,1,0,134,,
230317, 과일과채류, 토마토, 토마토,1,0,480,,
230317, 과일과채류, 딸기, 설향,1,0,250,,
230317, 서류, 고구마, 호박고구마,1,0,162,,
230317, 과일과채류, 딸기, 설향,1,0,525,,
230317, 과일과채류, 딸기, 설향,1,0,400,,
230317, 과일과채류, 토마토, 토마토,1,0,260,,
230317, 과일과채류, 토마토, 토마토,1,0,300,,
230317, 과일과채류, 참외, 금싸라기,1,0,800,,
230317, 과일과채류, 딸기, 설향,1,0,500,,
230317, 과일과채류, 토마토, 토마토,1,0,300,,
