230316, 과일과채류, 토마토, 완숙토마토,1,0,166,,
230316, 엽경채류, 상추, 적상추,1,0,200,,
230316, 서류, 고구마, 기타,1,0,140,,
230316, 과일과채류, 딸기, 설향,1,0,400,,
230316, 과실류, 감귤, 천혜향,1,0,523.3333,,
230316, 엽경채류, 깻잎, 깻잎,1,0,940,,
230316, 과일과채류, 참외, 금싸라기,1,0,780,,
230316, 과실류, 오렌지, 오렌지,0,0,362.63736,,
230316, 과실류, 오렌지, 오렌지,0,0,362.63736,,
230316, 과일과채류, 방울토마토, 대추방울,1,0,300,,
230316, 과일과채류, 딸기, 설향,1,0,425,,
230316, 조미채소류, 마늘, 깐마늘 남도,1,0,630,,
230316, 조미채소류, 마늘, 깐마늘 남도,1,0,630,,
230316, 과일과채류, 딸기, 설향,1,0,500,,
230316, 과실류, 사과, 후지,1,0,420,,
230316, 버섯류, 송화버섯, 송화버섯,1,0,820,,
230316, 과실류, 바나나, 바나나,0,0,232.39436,,
230316, 과일과채류, 딸기, 설향,1,0,600,,
230316, 과일과채류, 딸기, 설향,1,0,600,,
230316, 과일과채류, 딸기, 설향,1,0,360,,
230316, 엽경채류, 깻잎, 깻잎,1,0,985,,
230316, 과일과채류, 방울토마토, 대추방울,1,0,460,,
230316, 과일과채류, 딸기, 설향,1,0,560,,
230316, 과일과채류, 딸기, 기타딸기,1,0,400,,
230316, 산채류, 취나물, 취나물,1,0,725,,
230316, 양채류, 양상추, 기타양상추,1,0,150,,
230316, 과실류, 오렌지, 오렌지,0,0,219.78021,,
230316, 과일과채류, 딸기, 설향,1,0,750,,
230316, 과일과채류, 딸기, 기타딸기,1,0,320,,
230316, 서류, 고구마, 기타,1,0,46,,
230316, 엽경채류, 시금치, 시금치,1,0,110,,
230316, 조미채소류, 풋고추, 청양,1,0,1100,,
230316, 과실류, 오렌지, 오렌지,0,0,329.67032,,
230316, 과일과채류, 참외, 오복,1,0,860,,
230316, 버섯류, 송화버섯, 송화버섯,1,0,850,,
230316, 엽경채류, 깻잎, 깻잎순,1,0,455,,
230316, 과일과채류, 딸기, 설향,1,0,300,,
230316, 과일과채류, 토마토, 완숙토마토,1,0,214,,
230316, 조미채소류, 마늘, 깐마늘 남도,1,0,786,,
230316, 조미채소류, 풋고추, 청양,1,0,1100,,
230316, 과일과채류, 딸기, 설향,1,0,450,,
230316, 과일과채류, 딸기, 설향,1,0,450,,
230316, 과일과채류, 방울토마토, 대추방울,1,0,540,,
230316, 조미채소류, 마늘, 깐마늘 남도,1,0,786,,
230316, 과실류, 망고, 망고,0,0,100,,
230316, 엽경채류, 시금치, 시금치,1,0,80,,
230316, 과실류, 사과, 후지,1,0,400,,
230316, 과일과채류, 딸기, 설향,1,0,200,,
230316, 과일과채류, 딸기, 기타딸기,1,0,600,,
