230403, 과일과채류, 딸기, 설향, 1, 0, 1120.0
230403, 조미채소류, 양파, 양파, 1, 0, 76.92308
230403, 엽경채류, 배추, 쌈배추, 1, 0, 225.0
230403, 과일과채류, 토마토, 기타토마토, 1, 0, 16460.0
230403, 과실류, 오렌지, 오렌지, 0, 0, 117.64706
230403, 과일과채류, 딸기, 설향, 1, 0, 690.0
230403, 과일과채류, 딸기, 설향, 1, 0, 260.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 500.0
230403, 서류, 고구마, 밤고구마, 1, 0, 120.0
230403, 서류, 고구마, 기타, 1, 0, 130.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 200.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 330.0
230403, 과일과채류, 딸기, 설향, 1, 0, 360.0
230403, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 1075.0
230403, 과일과채류, 토마토, 기타토마토, 1, 0, 140.0
230403, 과일과채류, 참외, 참외, 1, 0, 500.0
230403, 과일과채류, 딸기, 장희, 1, 0, 1533.3334
230403, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 1075.0
230403, 과일과채류, 딸기, 설향, 1, 0, 500.0
230403, 엽경채류, 상추, 적상추, 1, 0, 490.0
230403, 과일과채류, 딸기, 설향, 1, 0, 800.0
230403, 양채류, 비트(붉은사탕무우), 비트, 1, 0, 168.0
230403, 과일과채류, 딸기, 설향, 1, 0, 450.0
230403, 과실류, 배, 신고, 1, 0, 155.33333
230403, 조미채소류, 대파, 대파, 1, 0, 145.0
230403, 과일과채류, 딸기, 설향, 1, 0, 450.0
230403, 과채류, 호박, 애호박, 1, 0, 150.0
230403, 서류, 고구마, 기타, 1, 0, 77.0
230403, 엽경채류, 쑥갓, 쑥갓, 1, 0, 137.5
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 333.33334
230403, 과일과채류, 토마토, 토마토, 1, 0, 240.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 320.0
230403, 과채류, 호박, 애호박, 1, 0, 166.25
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 400.0
230403, 엽경채류, 아욱, 아욱, 1, 0, 105.0
230403, 조미채소류, 풋고추, 청양, 1, 0, 366.0
230403, 과채류, 호박, 애호박, 1, 0, 285.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 410.0
230403, 과채류, 호박, 애호박, 1, 0, 236.25
230403, 과실류, 만감, 기타만감, 1, 0, 366.66666
230403, 서류, 고구마, 기타, 1, 0, 195.0
230403, 과일과채류, 딸기, 장희, 1, 0, 1200.0
230403, 과일과채류, 토마토, 찰토마토, 1, 0, 340.0
230403, 서류, 고구마, 기타, 1, 0, 133.0
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 900.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 410.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 750.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 360.0
230403, 과일과채류, 참외, 오복, 1, 0, 620.0
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 1150.0
230403, 과실류, 사과, 후지, 1, 0, 173.0
230403, 과일과채류, 수박, 수박, 1, 0, 292.30768
230403, 과일과채류, 딸기, 설향, 1, 0, 350.0
230403, 과일과채류, 딸기, 설향, 1, 0, 550.0
230403, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 905.0
230403, 과일과채류, 딸기, 설향, 1, 0, 150.0
230403, 과일과채류, 딸기, 장희, 1, 0, 533.3333
230403, 엽경채류, 상추, 포기찹, 1, 0, 325.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 260.0
230403, 과실류, 참다래(키위), 기타참다래, 1, 0, 210.0
230403, 과실류, 사과, 후지, 1, 0, 90.0
230403, 과채류, 오이, 백다다기, 1, 0, 293.0
230403, 과일과채류, 참외, 오복, 1, 0, 536.0
230403, 산채류, 참나물, 참나물, 1, 0, 240.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 252.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 460.0
230403, 양채류, 방울양배추(스프로스), 방울양배추, 1, 0, 380.0
230403, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 125.0
230403, 서류, 고구마, 밤고구마, 1, 0, 225.0
230403, 과일과채류, 딸기, 천사, 1, 0, 400.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 519.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 560.0
230403, 과일과채류, 참외, 오복, 1, 0, 440.0
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 550.0
230403, 엽경채류, 양배추, 양배추, 1, 0, 42.0
230403, 양채류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 477.5
230403, 과일과채류, 토마토, 찰토마토, 1, 0, 320.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 400.0
230403, 과일과채류, 딸기, 설향, 1, 0, 700.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 340.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 340.0
230403, 조미채소류, 홍고추, 홍고추, 1, 0, 1000.0
230403, 조미채소류, 홍고추, 홍고추, 1, 0, 1000.0
230403, 양채류, 피망(단고추), 홍피망, 1, 0, 850.0
230403, 조미채소류, 홍고추, 홍고추, 1, 0, 950.0
230403, 조미채소류, 쪽파, 깐쪽파, 1, 0, 383.0
230403, 엽경채류, 상추, 청상추, 1, 0, 387.5
230403, 산채류, 두릅, 땅두릅, 1, 0, 1110.0
230403, 조미채소류, 쪽파, 쪽파, 1, 0, 170.0
230403, 산채류, 두릅, 땅두릅, 1, 0, 1350.0
230403, 엽경채류, 상추, 청상추, 1, 0, 342.5
230403, 과채류, 오이, 백다다기, 1, 0, 266.66666
230403, 조미채소류, 쪽파, 쪽파, 1, 0, 125.0
230403, 산채류, 두릅, 땅두릅, 1, 0, 665.0
230403, 엽경채류, 상추, 청상추, 1, 0, 500.0
230403, 과실류, 오렌지, 네블, 1, 0, 244.44444
230403, 과일과채류, 딸기, 설향, 1, 0, 700.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 360.0
230403, 과일과채류, 딸기, 설향, 1, 0, 350.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 280.0
230403, 엽경채류, 시금치, 시금치, 1, 0, 240.0
230403, 과채류, 오이, 가시오이, 1, 0, 300.0
230403, 엽경채류, 시금치, 섬초, 1, 0, 251.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1150.0
230403, 과일과채류, 딸기, 설향, 1, 0, 450.0
