230403, 과일과채류, 딸기, 설향, 1, 0, 770.0
230403, 양채류, 콜라비(순무양배추), 콜라비, 1, 0, 36.065575
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 433.33334
230403, 조미채소류, 양파, 양파, 1, 0, 135.0
230403, 엽경채류, 상추, 포기찹, 1, 0, 500.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 400.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 520.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 450.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 280.0
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 900.0
230403, 과실류, 사과, 미시마, 1, 0, 280.0
230403, 과일과채류, 딸기, 설향, 1, 0, 250.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 460.0
230403, 엽경채류, 깻잎, 깻잎순, 1, 0, 400.0
230403, 과실류, 감귤, 천혜향, 1, 0, 606.0
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 1112.5
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 280.0
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 1050.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 220.0
230403, 과일과채류, 딸기, 설향, 1, 0, 300.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 620.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 320.0
230403, 산채류, 더덕, 더덕, 1, 0, 2200.0
230403, 과실류, 사과, 후지, 1, 0, 330.0
230403, 과실류, 감귤, 천혜향, 1, 0, 403.33334
230403, 산채류, 방풍나물, 방풍나물, 1, 0, 1210.0
230403, 과실류, 사과, 후지, 1, 0, 2240.0
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 580.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 433.33334
류, 느타리버섯, 애느타리, 1, 0, 350.0
230403, 산채류, 두릅, 건두릅, 1, 0, 925.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 570.0
230403, 과실류, 사과, 미얀마, 1, 0, 196.5
230403, 과일과채류, 딸기, 설향, 1, 0, 300.0
류, 느타리버섯, 애느타리, 1, 0, 350.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 450.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 600.0
230403, 과일과채류, 딸기, 설향, 1, 0, 730.0
류, 느타리버섯, 애느타리, 1, 0, 350.0
230403, 과일과채류, 참외, 참외, 1, 0, 682.0
230403, 산채류, 두릅, 땅두릅, 1, 0, 855.0
230403, 산채류, 마, 기타마, 1, 0, 302.0
230403, 과실류, 사과, 후지, 1, 0, 310.0
류, 느타리버섯, 애느타리, 1, 0, 350.0
230403, 과일과채류, 토마토, 대저토마토, 1, 0, 460.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 510.0
230403, 과일과채류, 딸기, 설향, 1, 0, 350.0
류, 느타리버섯, 애느타리, 1, 0, 350.0
230403, 엽경채류, 미나리, 미나리, 1, 0, 150.0
230403, 과일과채류, 딸기, 설향, 1, 0, 200.0
230403, 과실류, 사과, 미얀마, 1, 0, 120.5
류, 느타리버섯, 애느타리, 1, 0, 350.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 560.0
230403, 서류, 고구마, 밤고구마, 1, 0, 205.0
230403, 과채류, 오이, 백다다기, 1, 0, 210.0
류, 느타리버섯, 애느타리, 1, 0, 350.0
230403, 과채류, 오이, 백다다기, 1, 0, 160.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 600.0
류, 느타리버섯, 애느타리, 1, 0, 350.0
230403, 과일과채류, 수박, 수박, 1, 0, 309.0909
채소류, 꽈리고추, 꽈리고추, 1, 0, 962.5
230403, 과일과채류, 딸기, 설향, 1, 0, 1100.0
230403, 서류, 고구마, 밤고구마, 1, 0, 205.0
230403, 과실류, 사과, 미시마, 1, 0, 70.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 400.0
류, 두릅, 두릅, 1, 0, 2600.0
230403, 과실류, 배, 신고, 1, 0, 153.33333
230403, 과일과채류, 딸기, 설향, 1, 0, 310.0
230403, 과실류, 사과, 후지, 1, 0, 272.0
230403, 엽경채류, 어린잎, 어린잎채소, 1, 0, 900.0
230403, 과일과채류, 딸기, 설향, 1, 0, 200.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 830.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 480.0
230403, 과실류, 배, 신고, 1, 0, 153.33333
230403, 과일과채류, 토마토, 토마토, 1, 0, 348.0
230403, 조미채소류, 쪽파, 쪽파, 1, 0, 126.0
230403, 두류, 강낭콩, 강낭콩, 1, 0, 72.5
230403, 과실류, 사과, 미시마, 1, 0, 80.0
230403, 과일과채류, 수박, 수박, 1, 0, 333.33334
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 625.0
230403, 양채류, 피망(단고추), 청피망, 1, 0, 340.86957
230403, 조미채소류, 대파, 대파, 1, 0, 150.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 440.0
230403, 과일과채류, 수박, 수박, 1, 0, 314.2857
230403, 과일과채류, 딸기, 설향, 1, 0, 375.0
230403, 과일과채류, 딸기, 설향, 1, 0, 325.0
230403, 과일과채류, 수박, 수박, 1, 0, 281.25
230403, 과채류, 오이, 취청, 1, 0, 463.0
230403, 과실류, 사과, 후지, 1, 0, 173.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 630.0
230403, 과실류, 배, 신고, 1, 0, 146.66667
230403, 과일과채류, 딸기, 설향, 1, 0, 350.0
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 515.0
230403, 과실류, 사과, 기타사과, 1, 0, 185.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1400.0
230403, 과일과채류, 수박, 수박, 1, 0, 323.07693
230403, 과일과채류, 딸기, 죽향, 1, 0, 1000.0
230403, 과실류, 배, 신고, 1, 0, 160.0
230403, 과실류, 사과, 미얀마, 1, 0, 139.5
230403, 조미채소류, 마늘, 깐마늘 대서, 1, 0, 600.0
230403, 과실류, 참다래(키위), 기타참다래, 1, 0, 240.0
230403, 과채류, 호박, 쥬키니호박, 1, 0, 158.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 600.0
230403, 산채류, 새싹, 새싹, 1, 0, 1000.0
230403, 과실류, 사과, 미얀마, 1, 0, 230.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 420.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 500.0
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 1000.0
230403, 과실류, 사과, 미얀마, 1, 0, 209.5
230403, 과일과채류, 토마토, 토마토, 1, 0, 560.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 400.0
230403, 엽경채류, 상추, 적상추, 1, 0, 175.0
230403, 과실류, 사과, 미얀마, 1, 0, 255.5
230403, 과채류, 호박, 애호박, 1, 0, 231.25
230403, 과일과채류, 수박, 수박, 1, 0, 290.9091
230403, 과일과채류, 참외, 기타참외, 1, 0, 600.0
230403, 엽경채류, 미나리, 기타미나리, 1, 0, 306.25
230403, 산채류, 두릅, 땅두릅, 1, 0, 1760.0
230403, 엽경채류, 미나리, 기타미나리, 1, 0, 350.0
230403, 과일과채류, 딸기, 설향, 1, 0, 600.0
230403, 엽경채류, 상추, 청상추, 1, 0, 312.5
230403, 과실류, 사과, 미얀마, 1, 0, 205.5
230403, 엽경채류, 시금치, 시금치, 1, 0, 145.0
230403, 엽경채류, 상추, 꽃적상추, 1, 0, 350.0
230403, 과실류, 사과, 미시마, 1, 0, 360.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 600.0
230403, 과실류, 사과, 미얀마, 1, 0, 290.0
230403, 엽경채류, 상추, 꽃적상추, 1, 0, 350.0
230403, 과실류, 곶감, 기타곶감, 1, 0, 750.0
230403, 과일과채류, 수박, 수박, 1, 0, 436.66666
230403, 과일과채류, 토마토, 기타토마토, 1, 0, 960.0
230403, 과실류, 탄제린, 만다린, 1, 0, 444.44446
230403, 과채류, 오이, 가시오이, 1, 0, 160.0
230403, 과실류, 오렌지, 오렌지, 0, 0, 131.86813
230403, 과실류, 탄제린, 만다린, 1, 0, 444.44446
230403, 과실류, 탄제린, 만다린, 1, 0, 444.44446
230403, 과실류, 탄제린, 만다린, 1, 0, 444.44446
230403, 과실류, 감귤, 천혜향, 1, 0, 651.1111
230403, 과채류, 호박, 애호박, 1, 0, 287.5
230403, 과채류, 호박, 애호박, 1, 0, 287.5
230403, 과일과채류, 토마토, 토마토, 1, 0, 360.0
230403, 서류, 감자, 기타감자, 1, 0, 100.0
230403, 과일과채류, 딸기, 설향, 1, 0, 800.0
230403, 과일과채류, 수박, 수박, 1, 0, 320.0
230403, 엽경채류, 상추, 포기찹, 1, 0, 192.5
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 224.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 520.0
230403, 버섯류, 표고버섯, 표고버섯, 1, 0, 637.55554
230403, 근채류, 알타리무, 알타리무, 1, 0, 68.333336
230403, 엽경채류, 아욱, 아욱, 1, 0, 625.0
230403, 과채류, 호박, 애호박, 1, 0, 235.0
230403, 버섯류, 양송이, 기타양송이, 1, 0, 730.0
230403, 과채류, 호박, 애호박, 1, 0, 250.0
230403, 엽경채류, 머위대, 머위잎, 1, 0, 390.0
230403, 양채류, 콜라비(순무양배추), 콜라비, 1, 0, 64.0
230403, 근채류, 알타리무, 알타리무, 1, 0, 130.66667
230403, 버섯류, 양송이, 기타양송이, 1, 0, 925.0
230403, 과채류, 호박, 애호박, 1, 0, 247.5
230403, 조미채소류, 방아, 방아, 1, 0, 152.5
230403, 산채류, 두릅, 땅두릅, 1, 0, 960.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 560.0
230403, 조미채소류, 마늘, 깐마늘 대서, 1, 0, 560.0
230403, 과일과채류, 참외, 노랑참외, 1, 0, 150.0
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 775.0
230403, 엽경채류, 아욱, 아욱, 1, 0, 140.0
230403, 버섯류, 새송이, 새송이버섯, 1, 0, 250.0
230403, 조미채소류, 마늘, 깐마늘 대서, 1, 0, 560.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 505.0
230403, 과채류, 오이, 가시오이, 1, 0, 291.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 280.0
230403, 과일과채류, 딸기, 설향, 1, 0, 300.0
230403, 양채류, 콜라비(순무양배추), 콜라비, 1, 0, 70.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 470.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 500.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 360.0
230403, 산채류, 취나물, 취나물, 1, 0, 220.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 566.6667
230403, 과일과채류, 딸기, 설향, 1, 0, 1450.0
230403, 과실류, 사과, 미얀마, 1, 0, 274.5
230403, 과실류, 사과, 미얀마, 1, 0, 204.5
230403, 과실류, 사과, 미얀마, 1, 0, 266.5
230403, 과채류, 오이, 백다다기, 1, 0, 160.0
230403, 과채류, 오이, 백다다기, 1, 0, 180.0
230403, 엽경채류, 얼갈이배추, 알배기, 1, 0, 212.5
230403, 과실류, 사과, 미얀마, 1, 0, 299.5
230403, 과일과채류, 딸기, 설향, 1, 0, 500.0
230403, 과실류, 사과, 미얀마, 1, 0, 184.5
230403, 과채류, 오이, 백다다기, 1, 0, 150.0
230403, 과실류, 사과, 미얀마, 1, 0, 364.5
230403, 과일과채류, 참외, 참외, 1, 0, 520.0
230403, 과채류, 오이, 백다다기, 1, 0, 180.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 280.0
230403, 과채류, 오이, 백다다기, 1, 0, 160.0
230403, 과실류, 사과, 미얀마, 1, 0, 396.0
230403, 산채류, 취나물, 취나물, 1, 0, 55.0
230403, 엽경채류, 상추, 꽃적상추, 1, 0, 375.0
230403, 과채류, 오이, 백다다기, 1, 0, 230.0
230403, 과채류, 오이, 백다다기, 1, 0, 190.0
230403, 과실류, 사과, 미얀마, 1, 0, 394.5
채소류, 풋고추, 청양, 1, 0, 410.0
