230403, 과실류, 사과, 후지, 1, 0, 320.0
230403, 과실류, 만감, 기타만감, 1, 0, 883.3333
230403, 과실류, 사과, 후지, 1, 0, 140.0
230403, 조미채소류, 풋고추, 청양, 1, 0, 341.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 720.0
230403, 과일과채류, 딸기, 설향, 1, 0, 350.0
230403, 엽경채류, 미나리, 미나리, 1, 0, 315.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 632.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 480.0
230403, 과일과채류, 딸기, 설향, 1, 0, 150.0
230403, 과일과채류, 딸기, 설향, 1, 0, 650.0
230403, 버섯류, 느타리버섯, 애느타리, 1, 0, 200.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 320.0
230403, 과채류, 오이, 취청, 1, 0, 216.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 340.0
230403, 과일과채류, 토마토, 대저토마토, 1, 0, 240.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 400.0
230403, 과일과채류, 딸기, 설향, 1, 0, 350.0
230403, 과일과채류, 방울토마토, 방울토마토, 1, 0, 460.0
230403, 과실류, 바나나, 바나나, 1, 0, 246.15384
230403, 과실류, 바나나, 바나나, 1, 0, 246.47887
230403, 과일과채류, 참외, 오복, 1, 0, 780.0
230403, 버섯류, 느타리버섯, 애느타리, 1, 0, 200.0
230403, 과실류, 사과, 후지, 1, 0, 340.0
230403, 과실류, 만감, 기타만감, 1, 0, 900.0
230403, 과일과채류, 참외, 노랑참외, 1, 0, 710.0
230403, 과일과채류, 참외, 노랑참외, 1, 0, 730.0
230403, 과일과채류, 참외, 노랑참외, 1, 0, 720.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 605.0
230403, 과일과채류, 참외, 노랑참외, 1, 0, 750.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 560.0
230403, 엽경채류, 시금치, 시금치, 1, 0, 272.5
230403, 과일과채류, 참외, 기타참외, 1, 0, 750.0
230403, 엽경채류, 열무, 열무, 1, 0, 120.0
230403, 서류, 고구마, 밤고구마, 1, 0, 230.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 240.0
230403, 산채류, 취나물, 취나물, 1, 0, 462.5
230403, 과일과채류, 딸기, 설향, 1, 0, 410.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 430.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 300.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 570.0
230403, 양채류, 파프리카, 노랑파프리카, 1, 0, 280.0
230403, 산채류, 취나물, 기타취나물, 1, 0, 587.5
230403, 조미채소류, 대파, 대파, 1, 0, 165.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 240.0
230403, 버섯류, 표고버섯, 표고버섯, 0, 0, 650.0
230403, 산채류, 두릅, 두릅, 1, 0, 14660.0
230403, 버섯류, 표고버섯, 표고버섯, 0, 0, 650.0
230403, 과일과채류, 딸기, 설향, 1, 0, 450.0
230403, 과일과채류, 딸기, 죽향, 1, 0, 1650.0
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 1018.1818
230403, 양채류, 아스파라가스, 녹색, 1, 0, 1080.0
230403, 엽경채류, 미나리, 미나리, 1, 0, 725.0
230403, 과일과채류, 딸기, 설향, 1, 0, 300.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 600.0
230403, 버섯류, 표고버섯, 표고버섯, 0, 0, 650.0
230403, 버섯류, 표고버섯, 표고버섯, 0, 0, 650.0
230403, 과일과채류, 방울토마토, 방울토마토, 1, 0, 160.0
230403, 버섯류, 표고버섯, 표고버섯, 0, 0, 650.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1150.0
230403, 과일과채류, 딸기, 설향, 1, 0, 400.0
230403, 엽경채류, 기타, 쇠똥, 1, 0, 1183.3334
230403, 과실류, 단감, 부유, 1, 0, 269.0
230403, 조미채소류, 풋고추, 모닝, 1, 0, 528.0702
230403, 버섯류, 표고버섯, 화고건표고, 1, 0, 1360.0
230403, 과일과채류, 딸기, 금실, 1, 0, 750.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 420.0
230403, 과실류, 감귤, 천혜향, 1, 0, 657.7778
230403, 과일과채류, 토마토, 토마토, 1, 0, 320.0
230403, 과일과채류, 딸기, 설향, 1, 0, 250.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 590.0
230403, 엽경채류, 깻잎, 깻잎순, 1, 0, 650.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 680.0
230403, 과일과채류, 메론, 네트계, 1, 0, 780.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 200.0
230403, 과실류, 배, 신고, 1, 0, 180.0
230403, 과일과채류, 딸기, 설향, 1, 0, 850.0
230403, 과일과채류, 딸기, 설향, 1, 0, 350.0
230403, 과일과채류, 수박, 수박, 1, 0, 222.22223
230403, 엽경채류, 미나리, 미나리, 1, 0, 289.33334
230403, 과일과채류, 딸기, 금실, 1, 0, 1125.0
230403, 서류, 고구마, 밤고구마, 1, 0, 40.0
230403, 과실류, 블루베리, 블루베리, 1, 0, 4200.0
230403, 서류, 고구마, 밤고구마, 1, 0, 40.0
230403, 엽경채류, 미나리, 돌미나리, 1, 0, 1000.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 360.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 450.0
230403, 과실류, 바나나, 바나나, 1, 0, 246.47887
230403, 조미채소류, 양파, 양파, 1, 0, 133.33333
230403, 조미채소류, 풋고추, 청양, 1, 0, 450.0
230403, 조미채소류, 풋고추, 청양, 1, 0, 450.0
230403, 과채류, 가지, 가지, 1, 0, 240.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 292.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 290.0
230403, 버섯류, 양송이, 기타양송이, 1, 0, 800.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 520.0
230403, 과일과채류, 딸기, 설향, 1, 0, 280.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 240.0
230403, 과실류, 감귤, 천혜향, 1, 0, 577.7778
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 264.0
230403, 과실류, 감귤, 천혜향, 1, 0, 400.0
230403, 서류, 감자, 기타감자, 1, 0, 90.0
230403, 버섯류, 표고버섯, 표고버섯, 1, 0, 833.3333
230403, 과일과채류, 토마토, 토마토, 1, 0, 340.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 330.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 316.0
230403, 과일과채류, 참외, 오복, 1, 0, 530.0
230403, 과일과채류, 방울토마토, 방울토마토, 1, 0, 360.0
230403, 과실류, 금감, 금감, 1, 0, 290.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 580.0
230403, 과실류, 사과, 후지, 1, 0, 370.0
230403, 과실류, 사과, 후지, 1, 0, 210.0
230403, 과실류, 배, 신고, 1, 0, 173.33333
230403, 과실류, 사과, 기타사과, 1, 0, 300.0
230403, 과실류, 사과, 후지, 1, 0, 370.0
230403, 과실류, 사과, 미시마, 1, 0, 350.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 680.0
