230403, 엽경채류, 상추, 적포기, 1, 0, 325.0
230403, 과채류, 호박, 단호박, 0, 0, 315.0
230403, 조미채소류, 양파, 기타양파, 1, 0, 105.5
230403, 조미채소류, 마늘, 풋마늘, 1, 0, 400.0
230403, 엽경채류, 상추, 청상추, 1, 0, 475.0
230403, 과일과채류, 딸기, 설향, 1, 0, 300.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 433.33334
230403, 조미채소류, 양파, 조생양파, 1, 0, 124.666664
230403, 과채류, 호박, 단호박, 0, 0, 305.0
230403, 과일과채류, 토마토, 기타토마토, 1, 0, 660.0
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 1300.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1000.0
230403, 과실류, 사과, 미얀마, 1, 0, 130.0
230403, 과일과채류, 참외, 오복, 1, 0, 500.0
230403, 엽경채류, 상추, 청상추, 1, 0, 425.0
230403, 과실류, 포도, 샤인마스캇, 1, 0, 1000.0
230403, 엽경채류, 기타, 쇠똥, 1, 0, 1666.6666
230403, 과일과채류, 딸기, 장희, 1, 0, 600.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 406.66666
230403, 과실류, 오렌지, 기타오렌지, 1, 0, 241.17647
230403, 과채류, 오이, 취청, 1, 0, 390.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1000.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 680.0
230403, 과채류, 호박, 단호박, 0, 0, 330.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 560.0
230403, 엽경채류, 미나리, 미나리, 1, 0, 187.5
230403, 과실류, 금감, 금감, 1, 0, 580.0
230403, 엽경채류, 청경채, 청경채, 1, 0, 142.5
230403, 엽경채류, 상추, 꽃적상추, 1, 0, 385.0
230403, 과일과채류, 딸기, 설향, 1, 0, 375.0
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 860.0
230403, 과채류, 호박, 단호박, 0, 0, 335.0
230403, 엽경채류, 청경채, 청경채, 1, 0, 142.5
230403, 과일과채류, 딸기, 설향, 1, 0, 650.0
230403, 과일과채류, 딸기, 설향, 1, 0, 500.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 620.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 520.0
230403, 엽경채류, 머위대, 머위잎, 1, 0, 700.0
230403, 버섯류, 새송이, 새송이버섯, 1, 0, 190.0
230403, 과채류, 호박, 단호박, 0, 0, 350.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 166.66667
230403, 과일과채류, 참외, 오복, 1, 0, 430.0
230403, 과일과채류, 참외, 오복, 1, 0, 390.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 751.0
230403, 과실류, 사과, 미얀마, 1, 0, 268.0
230403, 과일과채류, 딸기, 설향, 1, 0, 750.0
230403, 과일과채류, 딸기, 설향, 1, 0, 550.0
230403, 과일과채류, 딸기, 설향, 1, 0, 750.0
230403, 과일과채류, 딸기, 금실, 1, 0, 650.0
230403, 과실류, 사과, 미얀마, 1, 0, 115.5
230403, 과일과채류, 딸기, 설향, 1, 0, 850.0
230403, 과실류, 사과, 미얀마, 1, 0, 311.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1000.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1000.0
230403, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 100.0
230403, 과실류, 사과, 후지, 1, 0, 206.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 400.0
230403, 과실류, 사과, 후지, 1, 0, 310.0
230403, 조미채소류, 풋고추, 청양, 1, 0, 362.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1120.0
230403, 과일과채류, 참외, 노랑참외, 1, 0, 450.0
230403, 과실류, 사과, 미얀마, 1, 0, 400.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 604.0
230403, 과일과채류, 딸기, 설향, 1, 0, 300.0
230403, 조미채소류, 풋고추, 청양, 1, 0, 362.0
230403, 엽경채류, 미나리, 미나리, 1, 0, 175.0
230403, 과일과채류, 딸기, 설향, 1, 0, 260.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 470.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 540.0
230403, 과실류, 배, 신고, 1, 0, 133.33333
230403, 조미채소류, 양파, 기타양파, 1, 0, 91.666664
230403, 과일과채류, 참외, 기타참외, 1, 0, 450.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 540.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 690.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1000.0
230403, 서류, 감자, 기타감자, 1, 0, 405.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 500.0
230403, 과실류, 사과, 후지, 1, 0, 230.0
230403, 과실류, 사과, 기타사과, 1, 0, 180.0
230403, 서류, 고구마, 기타, 1, 0, 265.0
230403, 엽경채류, 상추, 청상추, 1, 0, 255.0
230403, 과일과채류, 방울토마토, 방울토마토, 1, 0, 660.0
230403, 과실류, 사과, 미얀마, 1, 0, 380.0
230403, 과일과채류, 방울토마토, 방울토마토, 1, 0, 660.0
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 1200.0
230403, 조미채소류, 대파, 대파, 1, 0, 136.0
230403, 버섯류, 표고버섯, 표고버섯, 1, 0, 350.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 585.0
230403, 조미채소류, 대파, 대파, 1, 0, 136.0
230403, 조미채소류, 양파, 조생양파, 1, 0, 120.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 255.0
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 500.0
230403, 조미채소류, 양파, 조생양파, 1, 0, 124.666664
