채소류, 꽈리고추, 꽈리고추, 1, 0, 937.5
230403, 신선 해조류, 파래, 기타, 1, 0, 80.0
230403, 과채류, 호박, 쥬키니호박, 1, 0, 50.0
230403, 과실류, 배, 신고, 1, 0, 113.333336
230403, 산채류, 두릅, 두릅, 1, 0, 2166.6667
230403, 과실류, 배, 신고, 1, 0, 97.333336
230403, 과일과채류, 토마토, 기타토마토, 1, 0, 448.0
230403, 과채류, 오이, 백다다기, 1, 0, 200.0
230403, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 700.0
230403, 과일과채류, 딸기, 설향, 1, 0, 250.0
230403, 과일과채류, 딸기, 설향, 1, 0, 250.0
230403, 엽경채류, 쑥갓, 쑥갓, 1, 0, 125.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 452.0
230403, 과일과채류, 토마토, 대저토마토, 1, 0, 264.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 630.0
230403, 엽경채류, 배추, 쌈배추, 1, 0, 100.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1380.0
230403, 과실류, 사과, 미얀마, 1, 0, 260.0
230403, 과일과채류, 메론, 네트계, 1, 0, 487.5
230403, 과일과채류, 딸기, 설향, 1, 0, 950.0
230403, 과실류, 블루베리, 블루베리, 1, 0, 4500.0
230403, 과실류, 블루베리, 블루베리, 1, 0, 4500.0
230403, 과실류, 사과, 후지, 1, 0, 360.0
230403, 과실류, 사과, 미시마, 1, 0, 430.0
230403, 과실류, 사과, 미얀마, 1, 0, 184.5
230403, 과일과채류, 딸기, 설향, 1, 0, 1050.0
230403, 과실류, 단감, 기타단감, 1, 0, 166.0
230403, 과실류, 감귤, 조생귤, 1, 0, 380.0
230403, 과실류, 배, 신고, 1, 0, 141.33333
230403, 과실류, 배, 신고, 1, 0, 126.666664
230403, 과일과채류, 딸기, 설향, 1, 0, 1000.0
230403, 과실류, 배, 신고, 1, 0, 106.666664
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 750.0
230403, 과실류, 사과, 미시마, 1, 0, 330.0
230403, 양채류, 파프리카, 빨강파프리카, 1, 0, 491.3793
230403, 과일과채류, 참외, 참외, 1, 0, 400.0
230403, 버섯류, 표고버섯, 표고버섯, 1, 0, 437.5
230403, 근채류, 무, 세척무, 1, 0, 1.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 262.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 400.0
230403, 과실류, 사과, 후지, 1, 0, 328.0
230403, 엽경채류, 부추, 일반부추, 1, 0, 360.0
230403, 과일과채류, 수박, 수박, 1, 0, 240.0
230403, 과실류, 사과, 후지, 1, 0, 312.0
230403, 과실류, 사과, 미얀마, 1, 0, 510.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 360.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1060.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 380.0
230403, 과일과채류, 딸기, 설향, 1, 0, 200.0
230403, 과일과채류, 딸기, 금실, 1, 0, 1000.0
230403, 과일과채류, 딸기, 설향, 1, 0, 860.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 240.0
230403, 과일과채류, 토마토, 기타토마토, 1, 0, 480.0
230403, 버섯류, 팽이버섯, 팽이1호, 1, 0, 162.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 630.0
230403, 과일과채류, 딸기, 장희, 1, 0, 310.0
230403, 버섯류, 팽이버섯, 팽이1호, 1, 0, 162.0
230403, 과실류, 블루베리, 블루베리, 1, 0, 4000.0
230403, 과일과채류, 딸기, 설향, 1, 0, 360.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 248.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 570.0
230403, 과채류, 오이, 취청, 1, 0, 300.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 600.0
230403, 과일과채류, 딸기, 싼타, 1, 0, 320.0
230403, 과일과채류, 딸기, 설향, 1, 0, 700.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 400.0
