deal_date,large,medium,소,origin,income,가격
20230305,소,설도,1+등급,korea,4286,4286,4286
20230305,소,설도,1등급,korea,4075,4075,4075
20230305,소,양지,1++등급,korea,6645,6645,6645
20230305,소,양지,1+등급,korea,5596,5596,5596
20230305,소,양지,1등급,korea,5447,5447,5447
20230305,소,갈비,1++등급,korea,8695,8695,8695
20230305,소,갈비,1+등급,korea,7092,7092,7092
20230305,소,갈비,1등급,korea,8980,8980,8980
20230305,돼지,앞다리,앞다리,korea,1277,1277,1277
20230305,돼지,삼겹살,삼겹살,korea,2017,2017,2017
20230305,돼지,갈비,갈비,korea,1337,1337,1337
20230305,돼지,목심,목심,korea,1828,1828,1828
20230305,수입 소고기,갈비,미국산,income,3445,3445,3445
20230305,수입 소고기,갈비,호주산,income,4172,4172,4172
20230305,수입 소고기,갈비살,미국산,income,4397,4397,4397
20230305,수입 돼지고기,삼겹살,삼겹살,income,1473,1473,1473
20230305,닭,육계(kg),육계(kg),korea,5911,5911,5911
20230305,계란,특란10구,일반란,korea,3806,3806,3806
20230305,계란,특란30구,일반란,korea,6293,6293,6293
20230305,우유,흰우유,흰우유,korea,2879,2879,2879
20230306,소,안심,1++등급,korea,14848,14848,14848
20230306,소,안심,1+등급,korea,13250,13250,13250
20230306,소,안심,1등급,korea,12153,12153,12153
20230306,소,등심,1++등급,korea,13049,13049,13049
20230306,소,등심,1+등급,korea,10646,10646,10646
20230306,소,등심,1등급,korea,9243,9243,9243
20230306,소,설도,1++등급,korea,4461,4461,4461
20230306,소,설도,1+등급,korea,4281,4281,4281
20230306,소,설도,1등급,korea,4077,4077,4077
20230306,소,양지,1++등급,korea,6649,6649,6649
20230306,소,양지,1+등급,korea,5594,5594,5594
20230306,소,양지,1등급,korea,5453,5453,5453
20230306,소,갈비,1++등급,korea,8681,8681,8681
20230306,소,갈비,1+등급,korea,7121,7121,7121
20230306,소,갈비,1등급,korea,8980,8980,8980
20230306,돼지,앞다리,앞다리,korea,1276,1276,1276
20230306,돼지,삼겹살,삼겹살,korea,2018,2018,2018
20230306,돼지,갈비,갈비,korea,1334,1334,1334
20230306,돼지,목심,목심,korea,1829,1829,1829
20230306,수입 소고기,갈비,미국산,income,3455,3455,3455
20230306,수입 소고기,갈비,호주산,income,4217,4217,4217
20230306,수입 소고기,갈비살,미국산,income,4391,4391,4391
20230306,수입 돼지고기,삼겹살,삼겹살,income,1469,1469,1469
20230306,닭,육계(kg),육계(kg),korea,5954,5954,5954
20230306,계란,특란10구,일반란,korea,3806,3806,3806
20230306,계란,특란30구,일반란,korea,6293,6293,6293
20230306,우유,흰우유,흰우유,korea,2879,2879,2879
20230307,소,안심,1++등급,korea,14833,14833,14833
20230307,소,안심,1+등급,korea,13245,13245,13245
20230307,소,안심,1등급,korea,12149,12149,12149
20230307,소,등심,1++등급,korea,13060,13060,13060
20230307,소,등심,1+등급,korea,10635,10635,10635
20230307,소,등심,1등급,korea,9243,9243,9243
